rozetka_row_id;site_category_id;site_category_name;site_category_visible;site_parent_id;rozetka_parent_id;rozetka_category_name;rozetka_exclude;products_count
5538;4674954;;;;4674942;"Гальмівні колодки для мотоцикла";0;0
5540;4674957;;;;4674942;"Гальмівні троси";0;0
5527;4674960;;;;4674942;"Паливна система мотоцикла";0;0
5340;4674963;;;;4674942;"Ручки газу";0;0
5346;4674966;;;;4674942;"Важелі зчеплення та гальма";0;0
4502;4674969;;;;4674942;"Варіатори та ремені варіаторів";0;0
4421;4674972;;;;4674942;"Амортизатори для мотоциклів";0;0
4541;4674975;;;;4674942;"Повітряні фільтри для мотоцикла";0;0
5531;4674978;;;;4674942;"Паливні фільтри для мотоцикла";0;0
4638;4674981;;;;4674480;"Дитячі наволочки";0;0
4470;4674987;;;;4633513;Біофунгіциди;0;0
4469;4674990;;;;4633513;Біоінсектициди;0;0
4510;4674993;;;;4629914;Вітрогенератори;0;0
4365;4674996;;;;4675923;"Акумулятори для інвертора";0;0
4391;4674999;;;;4675923;"Аксесуари для перетворювачів інверторів";0;0
4566;4675002;;;;146633;Гантелі;0;0
4585;4675005;;;;146633;Гирі;0;0
4602;4675008;;;;146633;Грифи;0;0
4665;4675011;;;;146633;"Диски для штанг та гантелей";0;0
5754;4675014;;;;146633;Штанги;0;0
5052;4675017;;;;146633;"Набори штанга та гантелі ";0;0
4764;4675019;;;;3520929;"Здоров’я та лікування";0;0
4937;4675022;;;;3520929;"Ласощі для тварин";0;0
5329;4675025;;;;3803575;Розетки;0;0
4553;4675028;;;;3803575;"Вимикачі та димери";0;0
4860;4675031;;;;3803575;"Комплектуючі для розеток та вимикачів";0;0
5296;4675034;;;;3803575;"Рамки для розеток та вимикачів";0;0
4852;4675037;;;;3803575;"Комбіновані комплекти розетка + вимикач";0;0
5780;4675040;;;;4625018;"Енергетичні напої";0;0
